"author_id","sub_a","sub_b","sub_c","sub_d","sub_e","talent","talent_bin","degree","kcore","avg_geo","nbet","evc","frag"
1,1,2,8,3,0,22.548081406643,NA,7,4,1.125,0.108333333333333,0.434188462131703,0.214285714285714
2,2,5,0,3,0,14.8547529722733,NA,5,4,1.375,0.0279761904761905,0.327280763052926,0.178571428571429
3,0,8,0,1,2,12.0537478050103,NA,4,4,1.5,0.0458333333333333,0.24397124384251,0.160714285714286
4,0,0,3,5,0,7.63547202339972,NA,5,4,1.375,0.030952380952381,0.341182611926415,0.178571428571429
5,0,2,3,1,6,20.7548875021635,NA,5,4,1.375,0.0398809523809524,0.32730245880191,0.178571428571429
6,4,4,0,2,1,20.0537478050103,NA,5,4,1.375,0.0535714285714286,0.31860117562982,0.178571428571429
7,0,0,2,0,7,6.87784055857758,NA,4,4,1.5,0.0386904761904762,0.254354657960475,0.160714285714286
8,0,3,5,4,0,18.6550220320536,NA,6,4,1.25,0.0833333333333333,0.381584461246952,0.196428571428571
9,1,0,1,0,2,6,NA,5,4,1.375,0.0357142857142857,0.330913186866908,0.178571428571429
