"author_id","sub_a","sub_b","sub_c","sub_d","sub_e","talent","talent_bin","degree","kcore","avg_geo","nbet","evc","frag"
1,1,2,8,3,0,22.548081406643,NA,5,3,1.375,0.172619047619048,0.425541544187392,0.333333333333333
2,2,5,0,3,0,14.8547529722733,NA,5,3,1.625,0.0416666666666667,0.436046083291017,0.321428571428571
3,0,8,0,1,2,12.0537478050103,NA,3,3,1.875,0,0.298449247210897,0.285714285714286
4,0,0,3,5,0,7.63547202339972,NA,3,3,1.875,0,0.309372551099584,0.285714285714286
5,0,2,3,1,6,20.7548875021635,NA,4,2,1.5,0.428571428571429,0.242343786629593,0.482142857142857
6,4,4,0,2,1,20.0537478050103,NA,4,3,1.75,0.0119047619047619,0.378122736220934,0.303571428571429
7,0,0,2,0,7,6.87784055857758,NA,2,2,2.25,0,0.0725348203255167,0.255952380952381
8,0,3,5,4,0,18.6550220320536,NA,6,3,1.25,0.30952380952381,0.48141973785676,0.363095238095238
9,1,0,1,0,2,6,NA,2,2,2.25,0,0.0725348203255167,0.255952380952381
