"time","trans","density","avg_degree","avg_nbet","avg_evc"
1,1,0.111111111111111,0.888888888888889,0,0.314269680527354
2,1,0.111111111111111,0.888888888888889,0,0.314269680527354
3,1,0.111111111111111,0.888888888888889,0,0.314269680527354
4,1,0.111111111111111,0.888888888888889,0,0.314269680527354
5,1,0.111111111111111,0.888888888888889,0,0.314269680527354
6,1,0.111111111111111,0.888888888888889,0,0.314269680527354
7,1,0.111111111111111,0.888888888888889,0,0.314269680527354
8,1,0.111111111111111,0.888888888888889,0,0.314269680527354
9,1,0.111111111111111,0.888888888888889,0,0.314269680527354
10,1,0.111111111111111,0.888888888888889,0,0.314269680527354
11,1,0.111111111111111,0.888888888888889,0,0.314269680527354
12,1,0.111111111111111,0.888888888888889,0,0.314269680527354
13,1,0.111111111111111,0.888888888888889,0,0.314269680527354
14,1,0.111111111111111,0.888888888888889,0,0.314269680527354
15,1,0.111111111111111,0.888888888888889,0,0.314269680527354
16,1,0.111111111111111,0.888888888888889,0,0.314269680527354
17,1,0.111111111111111,0.888888888888889,0,0.314269680527354
18,1,0.111111111111111,0.888888888888889,0,0.314269680527354
19,1,0.111111111111111,0.888888888888889,0,0.314269680527354
20,1,0.111111111111111,0.888888888888889,0,0.314269680527354
21,1,0.111111111111111,0.888888888888889,0,0.314269680527354
22,1,0.111111111111111,0.888888888888889,0,0.314269680527354
23,1,0.111111111111111,0.888888888888889,0,0.314269680527354
24,1,0.111111111111111,0.888888888888889,0,0.314269680527354
25,1,0.111111111111111,0.888888888888889,0,0.314269680527354
26,1,0.111111111111111,0.888888888888889,0,0.314269680527354
27,1,0.0555555555555556,0.444444444444444,0,0.222222222222222
28,1,0.0555555555555556,0.444444444444444,0,0.222222222222222
29,1,0,0,0,NA
30,1,0,0,0,NA
31,1,0,0,0,NA
32,1,0,0,0,NA
33,1,0,0,0,NA
34,1,0,0,0,NA
35,1,0,0,0,NA
36,1,0,0,0,NA
37,1,0,0,0,NA
38,1,0,0,0,NA
39,1,0,0,0,NA
40,1,0,0,0,NA
41,1,0,0,0,NA
42,1,0,0,0,NA
43,1,0,0,0,NA
44,1,0,0,0,NA
45,1,0,0,0,NA
46,1,0,0,0,NA
47,1,0,0,0,NA
48,1,0,0,0,NA
49,1,0,0,0,NA
50,1,0,0,0,NA
