"author_id","sub_a","sub_b","sub_c","sub_d","sub_e","talent","talent_bin","degree","kcore","avg_geo","nbet","evc","frag"
1,1,2,8,3,0,22.548081406643,NA,3,2,1.875,0.0476190476190476,0.3761229615069,0.369047619047619
2,2,5,0,3,0,14.8547529722733,NA,4,2,1.75,0.18452380952381,0.45439368759581,0.410714285714286
3,0,8,0,1,2,12.0537478050103,NA,2,2,2.125,0,0.252054176427397,0.345238095238095
4,0,0,3,5,0,7.63547202339972,NA,2,2,2.25,0,0.266598791519076,0.339285714285714
5,0,2,3,1,6,20.7548875021635,NA,4,2,1.5,0.458333333333333,0.361857738642883,0.56547619047619
6,4,4,0,2,1,20.0537478050103,NA,3,2,1.75,0.160714285714286,0.339274068701583,0.386904761904762
7,0,0,2,0,7,6.87784055857758,NA,2,2,2.25,0,0.168400050693828,0.339285714285714
8,0,3,5,4,0,18.6550220320536,NA,4,2,1.5,0.327380952380952,0.463342853781085,0.429166666666667
9,1,0,1,0,2,6,NA,2,2,2.25,0,0.168400050693828,0.339285714285714
